Time of Day,Total Incidents,Arson,Bribery,"Burglary/
Breaking
& Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism ",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses"
Total,"6,531,976","26,491",739,"584,913","107,047","1,283,633","22,610","12,270","761,698","2,967,229","554,618","121,103","89,625"
Total A.M. Hours,"2,637,499","13,097",311,"269,839","45,107","541,174","9,418","4,920","332,281","1,102,088","235,348","46,232","37,684"
Midnight - 12:59 a.m.,"517,509","2,159",72,"46,816","11,858","97,556","2,236","1,210","95,391","208,277","38,819","6,905","6,210"
1 a.m. - 1:59 a.m.,"152,585","1,351",26,"18,026","1,356","41,646",212,228,"7,365","57,487","16,134","5,426","3,328"
2 a.m. - 2:59 a.m.,"136,993","1,299",31,"18,083","1,017","37,028",166,178,"5,469","51,350","14,475","5,032","2,865"
3 a.m. - 3:59 a.m.,"122,631","1,246",23,"18,397",698,"31,587",146,156,"4,678","46,390","12,908","4,054","2,348"
4 a.m. - 4:59 a.m.,"107,882","1,113",10,"17,210",555,"26,178",157,109,"3,984","41,057","12,485","3,376","1,648"
5 a.m. - 5:59 a.m.,"103,716","1,014",4,"15,055",632,"24,096",150,119,"4,402","39,447","14,367","3,013","1,417"
6 a.m. - 6:59 a.m.,"127,462",900,7,"15,689","1,082","28,555",305,141,"7,288","51,235","17,980","2,581","1,699"
7 a.m. - 7:59 a.m.,"173,684",798,15,"19,215","1,742","39,105",463,262,"12,609","73,670","21,040","2,311","2,454"
8 a.m. - 8:59 a.m.,"309,623",820,34,"28,207","7,085","56,701","1,557",638,"52,503","131,053","24,820","2,653","3,552"
9 a.m. - 9:59 a.m.,"280,428",764,27,"24,486","6,103","52,544","1,338",581,"43,635","122,816","21,200","3,081","3,853"
10 a.m. - 10:59 a.m.,"303,085",800,39,"25,261","6,523","53,881","1,341",680,"48,506","136,939","21,288","3,696","4,131"
11 a.m. - 11:59 a.m.,"301,901",833,23,"23,394","6,456","52,297","1,347",618,"46,451","142,367","19,832","4,104","4,179"
Total P.M. Hours,"3,793,521","13,124",416,"305,063","59,256","722,676","12,763","7,216","414,703","1,822,862","310,106","74,208","51,128"
Noon - 12:59 p.m.,"441,389",862,42,"34,392","10,819","64,826","2,304",994,"88,480","201,392","28,067","4,554","4,657"
1 p.m. - 1:59 p.m.,"317,799",845,23,"23,063","6,727","50,980","1,346",645,"48,411","156,861","19,727","4,729","4,442"
2 p.m. - 2:59 p.m.,"332,841",911,24,"24,491","7,118","53,591","1,522",630,"48,585","165,512","20,675","5,188","4,594"
3 p.m. - 3:59 p.m.,"355,705",964,43,"27,339","7,236","58,111","1,545",696,"49,990","176,610","22,875","5,501","4,795"
4 p.m. - 4:59 p.m.,"356,726","1,005",40,"28,084","6,583","61,428","1,355",637,"44,961","178,230","23,793","5,844","4,766"
5 p.m. - 5:59 p.m.,"374,432","1,137",33,"33,519","4,994","70,126","1,173",630,"35,729","188,656","28,091","5,921","4,423"
6 p.m. - 6:59 p.m.,"340,631","1,098",27,"29,060","3,884","66,082",861,599,"27,304","172,695","28,373","6,478","4,170"
7 p.m. - 7:59 p.m.,"289,917","1,100",33,"22,437","3,211","58,752",708,562,"21,156","144,586","26,320","7,053","3,999"
8 p.m. - 8:59 p.m.,"284,920","1,214",38,"22,508","2,884","62,374",629,524,"17,487","136,669","29,161","7,582","3,850"
9 p.m. - 9:59 p.m.,"257,181","1,270",46,"21,130","2,330","60,457",509,507,"13,395","117,044","28,929","7,781","3,783"
10 p.m. - 10:59 p.m.,"244,009","1,340",36,"20,797","1,847","62,284",471,460,"10,369","105,218","30,209","7,118","3,860"
11 p.m. - 11:59 p.m.,"197,971","1,378",31,"18,243","1,623","53,665",340,332,"8,836","79,389","23,886","6,459","3,789"
