Location,Total Offenses,Arson,Bribery,"Burglary/
Breaking
& Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism ",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses"
Total,"6,531,976","26,491",739,"584,913","107,047","1,283,633","22,610","12,270","761,698","2,967,229","554,618","121,103","89,625"
Abandoned/Condemned Structure,"4,643",317,1,"1,432",12,"1,553",1,2,96,956,153,63,57
Air/Bus/Train Terminal,"22,030",143,0,308,168,"4,820",67,10,"3,519","10,642","1,027","1,115",211
Amusement Park,"2,712",7,0,144,54,435,20,1,210,"1,699",106,23,13
Arena/Stadium/Fairgrounds/Coliseum,"3,752",13,0,313,50,881,11,2,183,"2,086",165,32,16
ATM Separate from Bank,"5,647",5,0,142,334,555,29,1,"3,047","1,239",57,207,31
Auto Dealership New/Used,"35,093",49,1,"3,095",720,"4,849",227,8,"3,759","12,384","9,616",88,297
Bank/Savings and Loan,"77,426",40,2,791,"21,917","3,251",701,41,"37,349","10,539",276,"1,950",569
Bar/Nightclub,"32,229",119,3,"2,529",708,"6,780",118,14,"2,669","16,601","1,639",899,150
Camp/Campground,"5,011",55,0,625,17,"1,115",9,0,120,"2,571",366,56,77
Church/Synagogue/Temple/Mosque,"30,443",248,0,"5,928",220,"10,560",62,11,566,"11,566",975,135,172
Commercial/Office Building,"204,780",811,10,"33,470","4,395","44,277","2,276",136,"17,541","86,080","12,906","1,719","1,159"
Community Center,"6,098",35,0,690,31,"1,741",23,1,253,"3,048",186,62,28
Construction Site,"51,502",162,0,"9,406",58,"8,002",72,4,423,"31,283","1,806",91,195
Convenience Store,"177,662",191,10,"9,016","7,389","14,040","2,150",46,"19,408","107,460","7,339","8,913","1,700"
Cyberspace,"84,103",0,24,0,"1,539",78,173,"2,504","79,727",0,0,0,58
Daycare Facility,"3,395",20,0,510,21,892,15,5,119,"1,661",133,14,5
Department/Discount Store,"352,905",232,7,"8,539","5,548","10,580","2,954",46,"34,024","280,849","2,759","5,408","1,959"
Dock/Wharf/Freight/Modal Terminal,"3,286",31,0,275,11,562,96,0,87,"1,925",188,85,26
Drug Store/Doctor's Office/Hospital,"59,759",114,7,"3,323","2,341","8,627",364,39,"6,874","34,999","1,476","1,330",265
Farm Facility,"7,676",85,0,"1,761",28,"1,358",21,1,111,"3,335",898,7,71
Field/Woods,"30,253","1,265",2,739,47,"9,029",19,7,403,"14,672","2,606",610,854
Gambling Facility/Casino/Race Track,"16,864",11,2,510,"1,740","1,506",95,8,"1,674","9,507","1,139",374,298
Government/Public Building,"43,950",235,49,"2,758","2,141","11,884",200,109,"11,407","13,433","1,102",196,436
Grocery/Supermarket,"173,423",117,4,"3,304","4,682","6,130","1,056",30,"15,943","136,339","2,070","2,807",941
Highway/Road/Alley/Street/Sidewalk,"632,941","3,430",200,"3,192","6,388","175,225",373,174,"23,969","228,107","118,984","33,721","39,178"
Hotel/Motel/Etc.,"116,118",346,13,"7,370","1,173","21,896",438,135,"8,731","57,217","12,465","3,538","2,796"
Industrial Site,"14,773",65,1,"2,455",90,"3,172",159,5,456,"7,089","1,126",40,115
Jail/Prison/Penitentiary/Corrections Facility,"7,912",150,42,70,291,"5,391",16,39,745,927,93,49,99
Lake/Waterway/Beach,"5,499",53,0,143,20,"1,109",3,2,131,"3,656",250,55,77
Liquor Store,"16,690",31,0,"1,346",580,"1,417",107,3,"1,223","10,883",396,632,72
Military Installation,251,0,0,15,1,43,1,0,32,124,28,2,5
Park/Playground,"52,126",724,1,"1,699",127,"21,066",18,20,"1,378","22,100","2,424","1,970",599
Parking/Drop Lot/Garage,"792,295","1,741",32,"16,869","1,759","183,549",379,102,"12,145","424,969","125,027","14,291","11,432"
Rental Storage Facility,"64,908",75,4,"30,648",132,"10,720",212,15,"1,680","17,122","3,713",102,485
Residence/Home,"2,486,053","12,657",249,"359,011","17,908","567,156","3,368","7,333","308,852","970,549","199,236","23,356","16,378"
Rest Area,"1,530",13,0,79,11,489,4,2,88,643,120,56,25
Restaurant,"105,229",274,7,"14,549","5,305","20,139","1,874",69,"14,075","41,664","3,671","2,956",646
School/College,"10,918",84,4,899,151,"3,724",51,47,474,"5,123",223,67,71
School-College/University,"26,100",91,4,"1,435",487,"7,587",34,220,"1,857","13,417",678,111,179
School-Elementary/Secondary,"34,377",471,3,"2,914",290,"13,008",80,75,"1,391","14,821",646,395,283
Service/Gas Station,"114,602",163,7,"5,299","3,542","12,219","1,194",18,"13,218","60,228","11,327","5,535","1,852"
Shelter-Mission/Homeless,"3,560",32,0,172,15,765,3,5,176,"2,169",92,90,41
Shopping Mall,"30,487",43,0,842,258,"2,333",159,5,"2,300","22,625",980,607,335
Specialty Store,"194,055",275,4,"17,714","4,245","20,037","1,790",54,"23,207","115,951","5,402","3,845","1,531"
Tribal Lands,"2,147",36,0,178,137,527,2,0,45,843,327,26,26
Other/Unknown,"384,763","1,432",46,"28,406","9,966","58,556","1,586",921,"106,013","152,128","18,422","3,475","3,812"
